着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,"ﾀｲﾑ指数


タイム指数(通常)
タイム指数マスター","ﾀｲﾑ指数M


タイム指数(通常)
タイム指数マスター",ｽﾀｰﾄ指数,追走指数,上がり指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),race_id,category
1,6,9,ロードイモータル,牡4,56,笹川翼,1:46.6,,**,-,-,-,-,3-3-1-1,42.0,2.0,1,504(+3),,,,"[地]
福永敏",中村伊三美,80.0,202444030101,NAR
2,5,7,タイムパワー,牡8,56,野畑凌,1:46.9,1.3/4,**,-,-,-,-,10-7-4-3,42.2,129.2,11,455(-7),,,,"[地]
赤嶺本浩",二瓶徹,32.0,202444030101,NAR
3,1,1,ゴールデンナイト,牡6,56,服部茂史,1:47.0,1/2,**,-,-,-,-,6-4-6-5,41.8,21.5,5,487(-7),,,,"[地]
福永敏",嶋田賢,20.0,202444030101,NAR
4,7,11,ミトノベルーガー,牡7,56,石川駿介,1:47.1,3/4,**,-,-,-,-,9-10-8-8,41.9,15.9,4,444(+6),,,,"[地]
高橋清顕",（有）トニーステー,12.0,202444030101,NAR
5,3,3,ウエイトジャッジ,牡6,56,安藤洋一,1:47.4,1.1/2,**,-,-,-,-,11-11-9-9,41.8,38.0,7,546(-3),,,,"[地]
米田英世",村上卓史,8.0,202444030101,NAR
6,4,4,サウンドズーム,牡4,56,達城龍次,1:47.5,1/2,**,-,-,-,-,4-4-5-5,42.7,3.1,2,485(+1),,,,"[地]
鈴木啓之",会田裕一,,202444030101,NAR
7,8,12,グリーンジェイド,牡5,56,遠藤健太,1:47.5,クビ,**,-,-,-,-,7-8-7-7,42.3,128.7,10,459(-7),,,,"[地]
久保田信",豊島愛子,,202444030101,NAR
8,4,5,ビーザチェンジ,牡8,56,岡村健司,1:47.8,1.1/2,**,-,-,-,-,12-12-10-10,42.2,24.4,6,510(+1),,,,"[地]
吉井竜一",（有）馬の友舎,,202444030101,NAR
9,7,10,リュウワンヒメ,牝5,54,中村尚平,1:48.3,2.1/2,**,-,-,-,-,13-13-13-13,41.9,395.0,13,470(+1),,,,"[地]
庄子昭彦",門脇竜一,,202444030101,NAR
10,2,2,フルールドレジーナ,牝5,54,和田譲治,1:49.0,3.1/2,**,-,-,-,-,1-1-3-2,44.4,4.6,3,538(+4),,,,"[地]
蛯名雄太",中山博,,202444030101,NAR
11,8,13,ダイヤプリーモ,牝4,54,江里口裕,1:49.4,2,**,-,-,-,-,5-6-11-11,43.8,279.4,12,449(-6),,,,"[地]
井上弘之",諸岡慶,,202444030101,NAR
12,5,6,ウォーバックス,セ6,56,藤本現暉,1:49.4,アタマ,**,-,-,-,-,8-9-12-12,43.6,56.7,9,476(-1),,,,"[地]
遠藤茂",今中俊平,,202444030101,NAR
13,6,8,エルマスフエルテ,牡8,56,藤田凌,1:49.5,1/2,**,-,-,-,-,2-2-2-3,44.9,41.9,8,488(+5),,,,"[地]
久保杉隆",小野寺悠太,,202444030101,NAR
1,6,11,ファルダ,牝4,54,矢野貴之,1:17.3,,**,-,-,-,-,1-1,39.3,1.5,1,483(-4),,,,"[地]
鷹見浩",橋元勇氣,80.0,202444030102,NAR
2,2,3,アンタゴニスタ,牡5,56,栗原大河,1:18.0,3.1/2,**,-,-,-,-,6-7,39.6,24.4,8,493(-1),,,,"[地]
小野寺晋",梶原哲朗,32.0,202444030102,NAR
3,4,7,キタサンリボン,牝5,54,川島正太,1:18.0,アタマ,**,-,-,-,-,3-3,39.8,7.7,2,483(+4),,,,"[地]
辻野豊",（有）大野商事,20.0,202444030102,NAR
4,3,5,エドノテーラー,牝7,53,菅原涼太,1:18.2,1,**,-,-,-,-,2-2,40.1,65.8,10,458(+1),,,,"[地]
渡辺和雄",遠藤喜松,12.0,202444030102,NAR
5,5,9,ミハルンルン,牝4,54,本村直樹,1:18.3,1/2,**,-,-,-,-,10-10,39.6,424.9,14,454(-3),,,,"[地]
高岩孝敏",八巻弘一,8.0,202444030102,NAR
6,1,1,ユウユウスターリー,牝6,54,安藤洋一,1:18.3,クビ,**,-,-,-,-,5-4,40.0,13.0,4,420(-1),,,,"[地]
月岡健二",北原大史,,202444030102,NAR
7,7,13,ハースファイア,セ6,55,木間塚龍,1:18.5,1,**,-,-,-,-,7-6,40.1,259.4,13,436(-2),,,,"[地]
栗田泰昌",酒井孝敏,,202444030102,NAR
8,3,6,アースリンゴ,牝4,54,石川駿介,1:18.7,3/4,**,-,-,-,-,12-11,39.8,473.4,15,430(+3),,,,"[地]
納谷和玖",松山増男,,202444030102,NAR
9,5,10,トニージャスティス,牡5,56,江里口裕,1:18.7,ハナ,**,-,-,-,-,13-13,39.6,9.4,3,482(-4),,,,"[地]
高橋清顕",（有）トニーステー,,202444030102,NAR
10,8,15,サツキジャスミン,牝7,54,藤田凌,1:18.7,クビ,**,-,-,-,-,11-12,39.9,14.8,5,453(-3),,,,"[地]
庄子昭彦",鳴田啓志,,202444030102,NAR
11,8,16,フレンチバローズ,牡7,56,藤本現暉,1:18.8,クビ,**,-,-,-,-,14-14,39.6,22.2,7,544(-3),,,,"[地]
月岡健二",池田俊道,,202444030102,NAR
12,1,2,アイスラリマー,牝5,54,岡村健司,1:18.8,ハナ,**,-,-,-,-,9-9,40.2,113.1,12,435(-2),,,,"[地]
高岩孝敏",北原大史,,202444030102,NAR
13,2,4,ゴールデンボイス,牡8,56,本橋孝太,1:18.8,クビ,**,-,-,-,-,16-15,39.3,19.1,6,503(+2),,,,"[地]
村上頼章",小田和子,,202444030102,NAR
14,6,12,ストームインレース,牡4,53,木澤奨,1:19.0,1,**,-,-,-,-,8-8,40.4,574.1,16,493(+4),,,,"[地]
赤嶺本浩",谷謙介,,202444030102,NAR
15,7,14,トレジャーバローズ,牡6,53,鷹見陸,1:19.4,2,**,-,-,-,-,15-16,39.9,78.1,11,442(-3),,,,"[地]
鷹見浩",生垣博志,,202444030102,NAR
16,4,8,ヒットザフロント,牝4,54,服部茂史,1:20.1,3.1/2,**,-,-,-,-,4-5,41.8,50.1,9,462(+1),,,,"[地]
佐野謙二",吉木伸彦,,202444030102,NAR
1,2,2,ムットクルフェ,牡3,57,矢野貴之,1:45.2,,**,-,-,-,-,1-1-1-1,40.8,3.0,2,500(-2),,,,"[地]
的場直之",会田裕一,280.0,202444030103,NAR
2,4,4,ロデオ,牡3,56,笹川翼,1:45.2,アタマ,**,-,-,-,-,3-3-3-3,40.8,1.6,1,498(-10),,,,"[地]
森下淳平",石川達絵,112.0,202444030103,NAR
3,6,6,ルーラーオブダート,牡3,56,森泰斗,1:45.3,3/4,**,-,-,-,-,9-7-4-4,40.5,7.6,3,450(+6),,,,"[地]
藤田輝信",吉田照哉,70.0,202444030103,NAR
4,3,3,ゲールタクト,牡3,56,野畑凌,1:45.6,1.1/2,**,-,-,-,-,2-2-2-2,41.2,52.1,6,459(+2),,,,"[地]
月岡健二",高樽さゆり,42.0,202444030103,NAR
5,8,9,スマイルクオーツ,牝3,54,服部茂史,1:46.4,4,**,-,-,-,-,6-6-6-6,41.3,157.2,8,441(-1),,,,"[地]
阪本一栄",金石守,28.0,202444030103,NAR
6,5,5,イチニチショチョウ,牡3,56,江里口裕,1:46.6,1.1/4,**,-,-,-,-,4-4-5-5,41.7,63.7,7,486(+3),,,,"[地]
嶋田幸晴",小菅誠,,202444030103,NAR
7,8,8,ポンドボーイ,牡3,56,藤田凌,1:46.9,1.1/2,**,-,-,-,-,5-5-7-7,41.4,15.0,5,464(-5),,,,"[地]
朝倉実",小池保則,,202444030103,NAR
8,7,7,マロンスイーツ,牡3,55,菅原涼太,1:47.9,5,**,-,-,-,-,8-8-9-8,42.1,11.4,4,483(+7),,,,"[地]
辻野豊",田頭勇貴,,202444030103,NAR
9,1,1,ノブトモ,牡3,56,安藤洋一,1:49.2,6,**,-,-,-,-,7-8-8-9,43.3,187.6,9,502(+1),,,,"[地]
朝倉実",（株）ＭＭＣ,,202444030103,NAR
1,7,8,チャダルクン,牡3,57,野畑凌,1:29.1,,**,-,-,-,-,1-2-2,38.1,3.9,2,521(+4),,,,"[地]
赤嶺本浩",伊原初,280.0,202444030104,NAR
2,2,2,スマイルモア,牡3,56,西啓太,1:29.5,2,**,-,-,-,-,2-1-1,38.7,4.5,4,494(-1),,,,"[地]
坂井英光",山田徳光,112.0,202444030104,NAR
3,4,4,ビッティンキバラ,牡3,57,矢野貴之,1:29.9,2,**,-,-,-,-,4-3-3,38.5,2.9,1,516(+8),,,,"[地]
佐野謙二",是枝浩平,70.0,202444030104,NAR
4,8,11,チャンチャン,牡3,56,石川駿介,1:31.1,6,**,-,-,-,-,11-10-10,38.3,65.3,8,457(-1),,,,"[地]
納谷和玖",石川貴久,42.0,202444030104,NAR
5,7,9,ジェイケイクロード,牡3,56,達城龍次,1:31.1,アタマ,**,-,-,-,-,4-5-5,39.3,8.2,5,482(-1),,,,"[地]
中道啓二",小谷野次郎,28.0,202444030104,NAR
6,6,7,エスケンドリーム,牡3,56,森泰斗,1:31.4,1.1/2,**,-,-,-,-,7-6-6,39.6,4.4,3,532(+2),,,,"[地]
鷹見浩",菊地博,,202444030104,NAR
7,3,3,ゼイトク,牡3,56,藤田凌,1:31.5,クビ,**,-,-,-,-,9-9-9,39.0,71.0,9,461(-12),,,,"[地]
上杉昌宏",阿部哲也,,202444030104,NAR
8,8,10,シーザーキック,牡3,56,岡村健司,1:32.4,4,**,-,-,-,-,10-8-8,40.3,183.0,10,469(-4),,,,"[地]
吉井竜一",佐野幸一郎,,202444030104,NAR
9,6,6,シントーキリンジ,牡3,56,御神本訓,1:33.6,6,**,-,-,-,-,3-4-4,42.1,27.0,6,497(+8),,,,"[地]
田中正人",中野辰三,,202444030104,NAR
10,5,5,タツノソニック,牡3,56,千田洋,1:33.7,クビ,**,-,-,-,-,6-7-7,41.9,476.8,11,449(+7),,,,"[地]
鷹見浩",三河辰已,,202444030104,NAR
11,1,1,ネバーシュリンク,牝3,54,安藤洋一,1:37.0,大,**,-,-,-,-,7-11-11,43.6,43.6,7,484(+22),,,,"[地]
坂井英光",今村明浩,,202444030104,NAR
1,2,2,タケシ,牡3,56,野畑凌,1:15.7,,**,-,-,-,-,1-1,39.2,1.2,1,447(-3),,,,"[地]
的場直之",伊藤恵介,280.0,202444030105,NAR
2,4,4,ポッドレオ,牡3,53,鷹見陸,1:15.8,3/4,**,-,-,-,-,2-2,39.1,11.6,3,525(-7),,,,"[地]
的場直之",小川眞査雄,112.0,202444030105,NAR
3,3,3,エドノビートイン,牡3,55,菅原涼太,1:16.7,4,**,-,-,-,-,5-5,39.7,14.6,4,473(+1),,,,"[地]
佐宗応和",遠藤正子,70.0,202444030105,NAR
4,8,11,キッショウテン,牝3,54,江里口裕,1:17.0,1.3/4,**,-,-,-,-,8-9,39.6,142.7,11,452(0),,,,"[地]
宗形竹見",鈴木克斉,42.0,202444030105,NAR
5,6,8,カナアミデスマッチ,牝3,51,木澤奨,1:17.2,3/4,**,-,-,-,-,4-4,40.2,24.1,6,414(+14),,,,"[地]
村上頼章",山辺浩,28.0,202444030105,NAR
6,7,9,デジタルサイオン,牡3,56,服部茂史,1:17.5,1.3/4,**,-,-,-,-,6-6,40.4,34.3,7,464(0),,,,"[地]
宗形竹見",（有）ビッグレッド,,202444030105,NAR
7,7,10,リケアヴェール,牡3,56,西啓太,1:17.5,ハナ,**,-,-,-,-,7-7,40.3,40.7,8,454(-2),,,,"[地]
澤佳宏",稲場澄,,202444030105,NAR
8,8,12,ユルバルス,牡3,56,矢野貴之,1:17.6,1/2,**,-,-,-,-,10-10,40.1,7.8,2,472(-1),,,,"[地]
吉井竜一",（株）アウレア,,202444030105,NAR
9,5,5,アーモンドチュイル,牝3,54,本村直樹,1:17.7,3/4,**,-,-,-,-,2-3,41.0,273.9,12,433(-1),,,,"[地]
高岩孝敏",田頭勇貴,,202444030105,NAR
10,1,1,ナイトストーリー,牝3,54,達城龍次,1:17.9,3/4,**,-,-,-,-,10-8,40.4,87.4,9,448(-5),,,,"[地]
鷹見浩",（有）内田ステーブ,,202444030105,NAR
11,5,6,テイルスピナー,牝3,54,岡村健司,1:18.4,2.1/2,**,-,-,-,-,9-11,40.9,128.4,10,404(-7),,,,"[地]
市村誠",松下祐也,,202444030105,NAR
12,6,7,ヴィヴァンラリー,牡3,56,御神本訓,1:18.6,1,**,-,-,-,-,12-12,40.7,20.5,5,469(+7),,,,"[地]
橋本和馬",高田勇三,,202444030105,NAR
1,6,9,ロンギングナイス,牡4,56,笹川翼,1:44.2,,**,-,-,-,-,1-1-1-1,40.4,2.8,1,487(-1),,,,"[地]
的場直之",坂本浩一,100.0,202444030106,NAR
2,3,3,アースダンスレン,牡5,56,千田洋,1:45.8,8,**,-,-,-,-,11-10-8-7,40.9,34.1,9,591(+1),,,,"[地]
納谷和玖",松山増男,40.0,202444030106,NAR
3,5,7,シードザブレイク,牡5,56,藤本現暉,1:45.8,クビ,**,-,-,-,-,3-3-3-3,41.9,5.5,3,498(-2),,,,"[地]
阪本一栄",三宅勝俊,25.0,202444030106,NAR
4,2,2,ショットオブザデイ,牡5,56,矢野貴之,1:46.1,1.1/2,**,-,-,-,-,4-4-5-5,41.8,11.5,5,474(+2),,,,"[地]
市村誠",冨谷昌弘,15.0,202444030106,NAR
5,7,11,ジャックアバンティ,牡7,56,安藤洋一,1:46.3,1,**,-,-,-,-,8-9-6-6,41.7,2.9,2,485(-5),,,,"[地]
立花伸",清水真由美,10.0,202444030106,NAR
6,4,4,ジェイケイウルル,牝5,54,達城龍次,1:46.3,アタマ,**,-,-,-,-,5-5-7-8,41.8,30.3,8,529(0),,,,"[地]
吉井竜一",小谷野次郎,,202444030106,NAR
7,7,10,レイズユアリミット,牡4,56,森泰斗,1:47.1,4,**,-,-,-,-,2-2-2-2,43.3,13.9,6,531(0),,,,"[地]
福永敏",野田善己,,202444030106,NAR
8,6,8,ノルトシュライフェ,牡7,56,吉井章,1:47.4,1.1/2,**,-,-,-,-,6-6-4-4,43.1,19.6,7,557(+2),,,,"[地]
月岡健二",佐々木雄二,,202444030106,NAR
9,4,5,ピエドラアギーラ,牡6,56,藤田凌,1:47.5,クビ,**,-,-,-,-,10-11-11-10,42.0,107.5,10,484(+1),,,,"[地]
藤田輝信",ゴドルフィン,,202444030106,NAR
10,5,6,フレンドキング,牡4,56,和田譲治,1:47.5,クビ,**,-,-,-,-,8-8-9-9,42.4,10.3,4,463(+3),,,,"[地]
久保杉隆",横尾晴人,,202444030106,NAR
11,8,13,ウイントルヴェール,牡4,56,中村尚平,1:48.3,4,**,-,-,-,-,7-7-10-11,43.4,165.9,11,445(-1),,,,"[地]
庄子昭彦",酒井孝敏,,202444030106,NAR
12,8,12,アイノジヴェルニー,牝5,54,本村直樹,1:49.0,3.1/2,**,-,-,-,-,13-12-12-12,43.4,681.3,12,462(+4),,,,"[地]
高岩孝敏",遠藤喜和,,202444030106,NAR
13,1,1,カルトゥーシュ,牡5,56,東原悠善,1:50.5,7,**,-,-,-,-,12-12-13-13,44.1,762.6,13,492(+4),,,,"[地]
久保田信",豊島愛子,,202444030106,NAR
1,6,9,サブノチャンス,牝4,54,新原周馬,1:16.4,,**,-,-,-,-,8-8,39.3,280.4,10,473(+1),,,,"[地]
堀千亜樹",中川三郎,100.0,202444030107,NAR
2,8,12,コパノモンタナ,セ4,56,岡村健司,1:16.7,1.1/2,**,-,-,-,-,12-11,39.2,38.9,6,453(+1),,,,"[地]
松浦裕之",小林祥晃,40.0,202444030107,NAR
3,7,11,ボラボラフレイバー,牡4,56,本橋孝太,1:16.8,3/4,**,-,-,-,-,10-10,39.7,13.4,5,458(-1),,,,"[地]
月岡健二",尾田信夫,25.0,202444030107,NAR
4,4,5,キタノライアン,セ7,56,西啓太,1:17.0,3/4,**,-,-,-,-,2-2,40.8,1.5,1,504(+4),,,,"[地]
田中正人",北所拓也,15.0,202444030107,NAR
5,5,7,エスプリアンディ,牡5,56,町田直希,1:17.3,1.1/2,**,-,-,-,-,9-9,40.2,11.9,3,480(+2),,,,"[地]
澤佳宏",依田泰雄,10.0,202444030107,NAR
6,7,10,スマートネクタル,牝6,54,服部茂史,1:17.4,3/4,**,-,-,-,-,3-3,41.0,12.9,4,477(0),,,,"[地]
坂井英光",（株）大川徹ホール,,202444030107,NAR
7,6,8,マスターキー,牡4,53,鷹見陸,1:17.4,ハナ,**,-,-,-,-,6-7,40.7,3.3,2,492(-4),,,,"[地]
鷹見浩",中山博,,202444030107,NAR
8,4,4,フロリアーノ,牝8,54,栗原大河,1:17.9,2.1/2,**,-,-,-,-,1-1,42.0,421.8,11,496(0),,,,"[地]
橋本和馬",高田勇三,,202444030107,NAR
9,5,6,エースクイーン,牝4,54,安藤洋一,1:18.1,3/4,**,-,-,-,-,4-4,41.6,106.2,8,418(+2),,,,"[地]
嶋田幸晴",（有）オート・エー,,202444030107,NAR
10,1,1,トーセンアマンダ,牝6,54,遠藤健太,1:18.3,1,**,-,-,-,-,11-11,40.9,44.7,7,480(+2),,,,"[地]
久保田信",豊島愛子,,202444030107,NAR
11,8,13,シントーツバキ,牝4,54,瀬川将輝,1:18.5,1,**,-,-,-,-,5-4,42.0,814.8,13,405(-2),,,,"[地]
久保杉隆",（株）さくらコーポ,,202444030107,NAR
12,3,3,フォルリチャード,牡6,56,吉井章,1:18.5,クビ,**,-,-,-,-,13-13,40.7,254.9,9,541(+6),,,,"[地]
久保杉隆",八嶋長久,,202444030107,NAR
13,2,2,リアンメイ,牡7,56,東原悠善,1:19.3,4,**,-,-,-,-,6-4,42.6,577.8,12,474(-1),,,,"[地]
久保田信",豊島愛子,,202444030107,NAR
1,3,4,ロンギングタイム,牡4,56,矢野貴之,1:46.0,,**,-,-,-,-,5-5-6-4,42.3,1.8,1,502(+2),,,,"[地]
的場直之",坂本浩一,100.0,202444030108,NAR
2,4,5,バイアルド,牡5,56,笹川翼,1:46.0,クビ,**,-,-,-,-,7-6-5-3,42.3,2.7,2,531(-4),,,,"[地]
森下淳平",江馬由将,40.0,202444030108,NAR
3,7,11,ビアンカ,牝4,54,吉井章,1:46.4,2,**,-,-,-,-,3-2-1-1,43.1,81.5,11,416(+2),,,,"[地]
大宮和也",北原大史,25.0,202444030108,NAR
4,6,10,プリメラクラセ,牡6,56,野畑凌,1:46.8,2,**,-,-,-,-,13-13-12-12,41.7,22.4,5,484(+2),,,,"[地]
朝倉実",（株）ファーストビ,15.0,202444030108,NAR
5,8,13,フェリスラリー,牡4,55,菅原涼太,1:46.9,3/4,**,-,-,-,-,2-3-2-1,43.5,114.5,12,466(-1),,,,"[地]
堀江仁",高田勇三,10.0,202444030108,NAR
6,6,9,ゲームボール,牡4,56,和田譲治,1:46.9,ハナ,**,-,-,-,-,11-11-11-10,42.2,54.6,8,484(-2),,,,"[地]
松浦裕之",前田良平,,202444030108,NAR
7,4,6,ヒダカホンセン,牝4,54,藤田凌,1:47.2,1.1/2,**,-,-,-,-,8-8-7-7,43.1,224.5,13,477(+8),,,,"[地]
阪本一栄",大典牧場（有）,,202444030108,NAR
8,3,3,コーゲンマース,牡4,56,千田洋,1:47.7,2.1/2,**,-,-,-,-,6-6-10-11,43.2,13.7,4,445(+2),,,,"[地]
井上弘之",（株）光元コーポレ,,202444030108,NAR
9,5,7,テンポルバート,牝4,54,達城龍次,1:47.8,1/2,**,-,-,-,-,9-10-9-9,43.3,36.0,7,490(+4),,,,"[地]
荒井朋弘",（株）２・２８,,202444030108,NAR
10,2,2,シントーヨーキヒ,牝7,54,新原周馬,1:48.0,3/4,**,-,-,-,-,9-9-8-8,43.6,55.9,10,460(+1),,,,"[地]
田中正人",中野辰三,,202444030108,NAR
11,8,14,ミレディ,牝4,54,中村尚平,1:48.2,3/4,**,-,-,-,-,12-12-13-13,43.1,453.5,14,446(-2),,,,"[地]
村上頼章",由利一郎,,202444030108,NAR
12,5,8,ジーニー,牡8,56,本田正重,1:48.9,3.1/2,**,-,-,-,-,14-14-14-14,43.2,29.9,6,506(-6),,,,"[地]
森下淳平",高樽優也,,202444030108,NAR
13,7,12,ロードオブシャドウ,牡5,56,服部茂史,1:49.5,3,**,-,-,-,-,4-3-3-5,46.1,54.7,9,506(+3),,,,"[地]
蛯名雄太",飯塚知一,,202444030108,NAR
14,1,1,メイプルリーフラグ,牝4,54,西啓太,1:52.1,大,**,-,-,-,-,1-1-4-5,48.6,10.5,3,454(+4),,,,"[地]
坂井英光",稲場澄,,202444030108,NAR
1,1,1,ジランドール,セ6,56,笹川翼,1:15.3,,**,-,-,-,-,1-1,38.7,2.2,2,538(0),,,,"[地]
荒山勝徳",長谷川祐司,100.0,202444030109,NAR
2,5,8,ジェットスピード,セ5,56,西啓太,1:15.4,1/2,**,-,-,-,-,11-11,37.6,1.7,1,493(+1),,,,"[地]
坂井英光",岡田隆寛,40.0,202444030109,NAR
3,4,6,プリサイスニードル,セ5,56,吉井章,1:16.1,3.1/2,**,-,-,-,-,7-7,38.7,154.1,10,460(+5),,,,"[地]
吉井竜一",菊地博,25.0,202444030109,NAR
4,7,11,カンタベリーホープ,牡5,56,岡村健司,1:16.3,1.1/4,**,-,-,-,-,4-4,39.6,55.2,7,463(-1),,,,"[地]
遠藤茂",峰哲馬,15.0,202444030109,NAR
5,8,14,ドンドン,牡4,56,藤田凌,1:16.4,1/2,**,-,-,-,-,3-2,39.7,154.9,11,479(+3),,,,"[地]
阪本一栄",山田祐三,10.0,202444030109,NAR
6,6,9,ジョーフェイス,牡5,56,達城龍次,1:16.5,1/2,**,-,-,-,-,9-9,38.8,14.7,3,502(-6),,,,"[地]
坂井英光",稲場澄,,202444030109,NAR
7,2,2,ナックリーガル,牡4,56,高橋昭平,1:16.6,1/2,**,-,-,-,-,12-12,38.8,194.6,13,531(-6),,,,"[地]
立花伸",小松欣也,,202444030109,NAR
8,8,13,カツノサンキュウ,牡6,56,本田正重,1:16.6,アタマ,**,-,-,-,-,6-5,39.6,17.4,4,480(-2),,,,"[地]
阪本一栄",渡邉和典,,202444030109,NAR
9,3,4,オグメンタ,牡4,56,町田直希,1:16.9,1.1/2,**,-,-,-,-,10-10,39.1,47.9,6,456(+3),,,,"[地]
米田英世",木村友典,,202444030109,NAR
10,5,7,アベルバローズ,牡5,56,藤本現暉,1:17.1,3/4,**,-,-,-,-,13-13,39.0,133.8,9,507(-5),,,,"[地]
村上頼章",猪熊広次,,202444030109,NAR
11,6,10,アウトレイジング,牡6,55,木間塚龍,1:17.3,1.1/4,**,-,-,-,-,14-14,39.2,240.2,14,432(-1),,,,"[地]
須田和伸",吉田勝利,,202444030109,NAR
12,4,5,イッピン,牡4,56,野畑凌,1:17.3,アタマ,**,-,-,-,-,5-6,40.4,80.7,8,480(-1),,,,"[地]
上杉昌宏",藤澤廣士,,202444030109,NAR
13,3,3,ジョリーハーモニー,牝4,54,安藤洋一,1:17.5,3/4,**,-,-,-,-,8-8,39.8,45.7,5,480(-10),,,,"[地]
的場直之",中山博,,202444030109,NAR
14,7,12,ワタシハマジョ,牝4,54,千田洋,1:18.4,4,**,-,-,-,-,1-3,41.8,190.8,12,469(+6),,,,"[地]
高橋清顕",今中俊平,,202444030109,NAR
1,4,4,フォルトリアン,牝3,56,本田正重,1:46.5,,**,-,-,-,-,6-5-6-4,42.5,2.9,1,477(-4),,,,"[地]
市村誠",馬目卓,400.0,202444030110,NAR
2,1,1,ルメビーンズ,牝3,54,千田洋,1:46.5,クビ,**,-,-,-,-,1-1-5-6,42.8,14.9,6,449(+1),,,,"[地]
大宮和也",高橋真紀,160.0,202444030110,NAR
3,2,2,ムサシジェリーナ,牝3,55,森泰斗,1:46.9,2,**,-,-,-,-,2-2-1-1,43.3,5.4,3,480(0),,,,"[地]
栗田泰昌",武蔵屋ハウス（株）,100.0,202444030110,NAR
4,7,7,ツートンショコラ,牝3,54,藤本現暉,1:46.9,アタマ,**,-,-,-,-,8-8-7-6,42.5,5.4,4,452(-12),,,,"[地]
蛯名雄太",川添裕起,60.0,202444030110,NAR
5,8,8,シシノハート,牝3,54,服部茂史,1:47.6,3.1/2,**,-,-,-,-,4-4-1-2,44.0,83.8,8,450(0),,,,"[地]
小野寺晋",組）志士十二組合,40.0,202444030110,NAR
6,3,3,ティーズエナジー,牝3,54,野畑凌,1:47.8,3/4,**,-,-,-,-,3-3-1-2,44.2,7.5,5,442(+4),,,,"[地]
嶋田幸晴",立山伸二,,202444030110,NAR
7,5,5,ベイデンマリーナ,牝3,54,笹川翼,1:48.2,2,**,-,-,-,-,6-7-4-5,44.6,3.3,2,420(-4),,,,"[地]
福田真広",米田竜治,,202444030110,NAR
8,6,6,ラブラブバゴバゴ,牝3,54,西啓太,1:50.6,大,**,-,-,-,-,5-5-8-8,45.8,28.7,7,494(0),,,,"[地]
荒井朋弘",谷謙介,,202444030110,NAR
1,2,4,サイレントギフト,牡6,57,西啓太,1:28.6,,**,-,-,-,-,5-4-3,39.7,21.1,8,477(-11),,,,"[地]
阪本一栄",金石守,500.0,202444030111,NAR
2,5,9,ティアラフォーカス,牡5,57,和田譲治,1:28.9,1.3/4,**,-,-,-,-,4-2-2,40.2,4.4,1,548(-1),,,,"[地]
宗形竹見",藤本栄史,200.0,202444030111,NAR
3,4,7,バトルバーリライ,牡8,55,御神本訓,1:29.3,2,**,-,-,-,-,11-7-6,39.9,4.5,2,480(0),,,,"[地]
辻野豊",大久保和夫,125.0,202444030111,NAR
4,3,6,コパノマーキュリー,牡7,57,森泰斗,1:29.4,3/4,**,-,-,-,-,1-1-1,40.9,6.6,4,516(+12),,,,"[地]
松浦裕之",小林祥晃,75.0,202444030111,NAR
5,1,2,ハイパータンク,牡6,57,安藤洋一,1:29.5,1/2,**,-,-,-,-,7-6-5,40.4,14.8,7,526(+1),,,,"[地]
佐野謙二",野村茂雄,50.0,202444030111,NAR
6,8,15,トーホウテンリュウ,牡5,55,町田直希,1:29.8,1.1/2,**,-,-,-,-,13-13-12,39.5,24.9,9,506(-4),,,,"[地]
佐々木仁",東豊物産（株）,,202444030111,NAR
7,4,8,ハートプレイス,牡6,57,岡村健司,1:29.9,クビ,**,-,-,-,-,8-8-8,40.4,8.0,5,484(+4),,,,"[地]
佐宗応和",渡部賢治,,202444030111,NAR
8,6,12,ワイズゴールド,牝4,53,本田正重,1:30.0,1/2,**,-,-,-,-,14-14-14,39.7,86.2,13,440(+5),,,,"[地]
市村誠",馬目卓,,202444030111,NAR
9,6,11,ウインドフレイバー,牡4,55,本橋孝太,1:30.0,アタマ,**,-,-,-,-,9-11-11,39.9,11.5,6,491(+15),,,,"[地]
繁田健一",尾田信夫,,202444030111,NAR
10,3,5,エアロストリーム,牡5,55,野畑凌,1:30.4,2,**,-,-,-,-,2-3-4,41.5,4.6,3,525(+4),,,,"[地]
的場直之",太田匡哉,,202444030111,NAR
11,7,14,ニヨドスマイル,牡6,55,古岡勇樹,1:30.8,2,**,-,-,-,-,15-15-12,40.4,48.2,10,494(-3),,,,"[地]
岩本洋",西森鶴,,202444030111,NAR
12,2,3,スペクタクル,牡6,57,瀬川将輝,1:31.9,5,**,-,-,-,-,10-10-9,42.0,251.7,15,497(-6),,,,"[地]
月岡健二",佐々木雄二,,202444030111,NAR
13,7,13,トーセンキャロル,牝5,55,矢野貴之,1:32.5,3,**,-,-,-,-,3-5-7,43.5,83.2,12,458(-4),,,,"[地]
小久保智",島川隆哉,,202444030111,NAR
14,1,1,シャイニーブランコ,牡8,57,達城龍次,1:32.9,2,**,-,-,-,-,5-9-10,43.1,205.4,14,450(-2),,,,"[地]
堀千亜樹",小林昌志,,202444030111,NAR
